Rang;Réseau;Station;Trafic;Correspondance_1;Correspondance_2;Correspondance_3;Correspondance_4;Correspondance_5;Ville;Arrondissement pour Paris
21;Métro;OLYMPIADES;4717069;14;;;;;Paris;13
27;Métro;AUBERVILLIERS-PANTIN-QUATRE CHEMINS;4131018;7;;;;;Aubervilliers;
29;Métro;HAVRE-CAUMARTIN;3899956;3;9;;;;Paris;9
38;Métro;TROCADERO;3618422;6;9;;;;Paris;16
39;Métro;LA COURNEUVE-8 MAI 1945;3611264;7;;;;;La Courneuve;
48;Métro;PORTE D'ORLEANS;3314496;4;;;;;Paris;14
3;Métro;GARE DE LYON;22232810;1;14;A;;;Paris;12
49;Métro;GAMBETTA;3310515;3;3bis;;;;Paris;20
5;Métro;GARE DE L'EST;11715190;4;5;7;;;Paris;10
58;Métro;GEORGE V;2871038;1;;;;;Paris;8
7;Métro;LA DEFENSE;8616589;1;;;;;Puteaux;
59;Métro;MARCEL SEMBAT;2845520;9;;;;;Boulogne Billancourt;
9;Métro;REPUBLIQUE;6988692;3;5;8;9;11;Paris;11
63;Métro;DAUMESNIL;2723508;6;8;;;;Paris;12
12;Métro;BELLEVILLE;5680933;2;11;;;;Paris;10
1;Métro;SAINT-LAZARE;26904975;3;9;12;13;14;Paris;8
